galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
UGC12732,profiled_baryons,4,1.1790799438058115,3.512194667991316,False,0
UGCA442,profiled_baryons,2,969.1563713860545,26.890872748975926,False,0
UGCA444,profiled_baryons,8,9.55045821556299,16.378771914677255,False,0
CamB,fixed_catalogue_baryons,2,14.421308588585172,5.696309711060016,False,0
D631-7,fixed_catalogue_baryons,4,105.59993006604336,38.737628505109875,False,0
DDO064,fixed_catalogue_baryons,3,13.296158180368609,21.91071732727028,False,0
DDO154,fixed_catalogue_baryons,3,1666.4777510831316,30.106971835270038,False,0
DDO161,fixed_catalogue_baryons,7,1046.1289799942758,34.71475574387897,False,0
DDO168,fixed_catalogue_baryons,2,116.43400715361193,27.88802208033832,False,0
DDO170,fixed_catalogue_baryons,2,900.0602097545541,33.09494707060597,False,0
ESO079-G014,fixed_catalogue_baryons,3,1328.0942201274468,77.87185295549267,False,0
ESO116-G012,fixed_catalogue_baryons,3,570.1069359867404,62.29354980814155,False,0
ESO563-G021,fixed_catalogue_baryons,6,318.10008138980373,162.19333964807132,False,0
F568-3,fixed_catalogue_baryons,4,28.913431538673894,60.43588673963807,False,0
F568-V1,fixed_catalogue_baryons,3,23.148328476255845,71.33296961225449,False,0
F571-8,fixed_catalogue_baryons,3,474.0833148602542,94.14729820539381,False,0
F574-1,fixed_catalogue_baryons,3,133.9564920849679,54.225843481380664,False,0
F583-1,fixed_catalogue_baryons,5,38.526873221435515,48.30487387263099,False,0
F583-4,fixed_catalogue_baryons,3,56.41948967184984,36.80532498187069,False,0
IC2574,fixed_catalogue_baryons,7,145.6188618962619,34.41164853151321,False,0
IC4202,fixed_catalogue_baryons,7,137.00288019231425,86.50751829363745,False,0
KK98-251,fixed_catalogue_baryons,3,49.802583043474385,14.114189037061164,False,0
NGC0024,fixed_catalogue_baryons,6,325.00295251602984,63.39148069669495,False,0
NGC0055,fixed_catalogue_baryons,5,91.8129426818383,38.52601485712391,False,0
NGC0100,fixed_catalogue_baryons,5,56.810244051760904,53.129959398678416,False,0
NGC0247,fixed_catalogue_baryons,6,41.509624982091445,55.00816521782325,False,0
NGC0289,fixed_catalogue_baryons,6,106.56742094688188,87.64503994790329,False,0
NGC0300,fixed_catalogue_baryons,5,483.03202783172935,59.115075933318444,False,0
NGC0801,fixed_catalogue_baryons,3,443.32685157941705,80.1305742841308,False,0
NGC0891,fixed_catalogue_baryons,4,225.62380111779828,57.204733301587886,False,0
NGC1003,fixed_catalogue_baryons,8,1225.660422124014,74.10503628556512,False,0
NGC1090,fixed_catalogue_baryons,5,935.6501719526426,68.21213044688824,False,0
NGC2403,fixed_catalogue_baryons,15,2899.5946464743815,78.4709506715605,False,0
NGC2683,fixed_catalogue_baryons,3,54.39598370295218,77.74576752142465,False,0
NGC2841,fixed_catalogue_baryons,10,1255.0039472948588,172.02723149627894,False,0
NGC2903,fixed_catalogue_baryons,7,646.0147988428702,85.551931584342,False,0
NGC2915,fixed_catalogue_baryons,6,101.59487725660058,61.479490463011736,False,0
NGC2955,fixed_catalogue_baryons,5,26.12254559844945,66.99302342047716,False,0
NGC2976,fixed_catalogue_baryons,6,25.08930996235173,21.601549273558398,False,0
NGC2998,fixed_catalogue_baryons,3,1285.1420750367167,91.141387632244,False,0
NGC3109,fixed_catalogue_baryons,5,204.0652632132374,44.67146885663472,False,0
NGC3198,fixed_catalogue_baryons,9,1415.761969338007,80.83854865675568,False,0
NGC3521,fixed_catalogue_baryons,9,54.54146625089034,63.20086900791199,False,0
NGC3726,fixed_catalogue_baryons,3,51.062073643319216,83.7823073117802,False,0
NGC3741,fixed_catalogue_baryons,5,205.32659967145,36.064349773542915,False,0
NGC3769,fixed_catalogue_baryons,3,45.623013973184264,69.96522996663319,False,0
NGC3877,fixed_catalogue_baryons,3,24.144079808345065,28.635678138796806,False,0
NGC3893,fixed_catalogue_baryons,2,35.5846156634106,74.22602377045142,False,0
NGC3917,fixed_catalogue_baryons,4,170.3846540291156,63.13375485915071,False,0
NGC3953,fixed_catalogue_baryons,2,57.286144690524566,55.442425760945056,False,0
NGC3972,fixed_catalogue_baryons,2,126.73484683300933,60.4712866545779,False,0
NGC3992,fixed_catalogue_baryons,2,281.41679767456424,119.73757554723858,False,0
NGC4010,fixed_catalogue_baryons,3,116.60968997491273,49.448559714078996,False,0
NGC4013,fixed_catalogue_baryons,8,266.97540790489813,91.46014652250913,False,0
NGC4088,fixed_catalogue_baryons,3,36.96698741561477,44.75921513753162,False,0
NGC4100,fixed_catalogue_baryons,5,99.35904103123627,71.96090067563044,False,0
NGC4157,fixed_catalogue_baryons,4,47.71637805458346,80.3126655668093,False,0
NGC4183,fixed_catalogue_baryons,5,88.37334183849119,58.68394262268098,False,0
NGC4217,fixed_catalogue_baryons,4,31.14599239305399,46.630763191152106,False,0
NGC4559,fixed_catalogue_baryons,7,72.27069402614438,50.70506804372776,False,0
NGC5005,fixed_catalogue_baryons,4,5.813137258191946,53.06064002641191,False,0
NGC5033,fixed_catalogue_baryons,5,827.6797287170559,99.26326467704467,False,0
