galaxy,point_index,radius_kpc,radius_fraction_of_last,comparator,z_envelope,z_comparator,delta_squared,delta_absolute,delta_absolute_kms,comparison_valid,comparator_fit_failed
UGC12506,29,48.35,0.9671934386877376,scalar_core,1.9649779816694786,2.297060255155428,-1.4153473473688623,-0.33208227348594943,-3.8521543724370133,True,False
UGC12506,30,49.99,1.0,scalar_core,2.201345436151194,2.554904500323344,-1.6816152765087855,-0.35355906417215,-4.10128514439694,True,False
UGC12632,12,9.25,0.8677298311444652,scalar_core,-1.0147798595868143,-1.7848533598114216,-2.1559233526070853,-0.7700735002246073,-2.3102205006738217,True,False
UGC12632,13,9.95,0.9333958724202626,scalar_core,-1.057610109221255,-2.0682764987392206,-3.1592285321099745,-1.0106663895179655,-2.8399725545454833,True,False
UGC12632,14,10.66,1.0,scalar_core,-1.2431448997189263,-2.4433837611770786,-4.424714962686668,-1.2002388614581523,-3.348666423468245,True,False
UGC12732,12,12.5,0.8116883116883117,scalar_core,-0.06165941697404348,-0.8190185259887648,-0.66698946221123,-0.7573591090147214,-2.5977417439204946,True,False
UGC12732,13,13.4,0.8701298701298701,scalar_core,-0.16070962231397617,-1.2223941310795607,-1.4684198289934536,-1.0616845087655846,-3.5672599494523642,True,False
UGC12732,14,14.4,0.935064935064935,scalar_core,-0.8190857080350298,-2.248230140288867,-4.383637366596052,-1.4291444322538374,-4.544679294567203,True,False
UGC12732,15,15.4,1.0,scalar_core,-1.0814069014434209,-2.7952909615292474,-6.6442106731176445,-1.7138840600858265,-5.450151311072928,True,False
UGCA442,6,5.48,0.8657187993680885,scalar_core,-1.4818623560343158,-1.4086872599279001,0.21151624594839813,0.0731750961064157,0.20708552198115646,True,False
UGCA442,7,6.33,1.0,scalar_core,-6.7144631347752055,-7.576754645108537,-12.323195763918505,-0.8622915103333311,-0.5604894817166652,True,False
UGCA444,28,2.11,0.8053435114503816,scalar_core,-0.07315935376171002,-0.6950748935671943,-0.47777681662461546,-0.6219155398054843,-2.941660503279941,True,False
UGCA444,29,2.19,0.8358778625954197,scalar_core,-0.04262035599871404,-0.7700218631478091,-0.5911171749801661,-0.727401507149095,-3.3969650383862735,True,False
UGCA444,30,2.26,0.8625954198473281,scalar_core,-0.282512811083233,-1.2970583121382948,-1.6025467766608916,-1.014545501055062,-3.794400173945932,True,False
UGCA444,31,2.33,0.8893129770992366,scalar_core,-0.3701633429983349,-1.1365398980294616,-1.1547020393131162,-0.7663765550311268,-4.192079756020263,True,False
UGCA444,32,2.4,0.916030534351145,scalar_core,-0.5722083650406258,-1.4286487286959484,-1.7136147769820835,-0.8564403636553226,-4.616213560102189,True,False
UGCA444,33,2.48,0.9465648854961831,scalar_core,-0.4876978369648235,-1.206837978342539,-1.218608725789739,-0.7191401413777154,-5.10589500378178,True,False
UGCA444,34,2.55,0.9732824427480915,scalar_core,-0.3134274964798381,-1.4849527521358952,-2.10684788052635,-1.1715252556560571,-5.541314459253151,True,False
UGCA444,35,2.62,1.0,scalar_core,-0.536819826319798,-1.3042550088629252,-1.4129056022140112,-0.7674351825431273,-5.97064572018553,True,False
CamB,7,1.47,0.8212290502793296,compact_plummer,-2.5838051903080044,-2.5838051903080057,-6.217248937900877e-15,-1.3322676295501878e-15,-1.9984014443252818e-15,True,False
CamB,8,1.79,1.0,compact_plummer,-5.209163789104345,-5.209163789104345,0.0,0.0,0.0,True,False
D631-7,12,5.84,0.8122392211404729,compact_plummer,0.40516235389617655,0.40516235389617655,0.0,0.0,0.0,True,False
D631-7,13,6.29,0.8748261474269818,compact_plummer,0.8559355380178385,0.8559355380178385,0.0,0.0,0.0,True,False
D631-7,14,6.74,0.9374130737134909,compact_plummer,1.495068321462301,1.495068321462301,0.0,0.0,0.0,True,False
D631-7,15,7.19,1.0,compact_plummer,2.063930123914329,2.063930123914329,0.0,0.0,0.0,True,False
DDO064,11,2.27,0.761744966442953,compact_plummer,0.6462489755714305,0.5840901893798688,0.07647638909731236,0.06215878619156168,0.2871735922050149,True,False
DDO064,12,2.37,0.7953020134228188,compact_plummer,0.5402600015654152,0.4952942291638234,0.04656449584847647,0.04496577240159183,0.30261964826271304,True,False
DDO064,13,2.98,1.0,compact_plummer,0.6562610213653911,0.6107710017565675,0.057637311576825334,0.045490019608823595,0.3934886696163241,True,False
DDO154,9,4.94,0.8344594594594595,compact_plummer,-2.5145356292484666,-2.4373554586671755,0.38218779886530463,0.07718017058129112,0.04630810234877466,True,False
DDO154,10,5.43,0.9172297297297297,compact_plummer,-1.8407373769045323,-1.7821601295555216,0.21221936335602498,0.05857724734901071,0.041004073144307485,True,False
DDO154,11,5.92,1.0,compact_plummer,-0.19145070256385566,-0.16775397963620264,0.00851197382841044,0.023696722927653013,0.030805739805948917,True,False
DDO161,24,10.52,0.7868362004487659,compact_plummer,-0.6219766956977878,-0.6408944895417533,-0.023890736733846007,-0.018917793843965525,-0.060915296177568995,True,False
DDO161,25,10.99,0.8219895287958116,compact_plummer,-0.598571157104966,-0.6262529226033186,-0.033905292951220245,-0.02768176549835255,-0.06560578423109555,True,False
DDO161,26,11.46,0.8571428571428572,compact_plummer,-1.794059578459948,-1.8679136376112795,-0.2704515865103163,-0.07385405915133147,-0.0701613561937649,True,False
DDO161,27,11.94,0.893044128646223,compact_plummer,-1.9446371905262883,-2.0223793409193114,-0.30840439579925283,-0.07774215039302312,-0.0746324643773022,True,False
DDO161,28,12.41,0.9281974569932686,compact_plummer,-2.5298637582235957,-2.609554924092382,-0.4095662666815816,-0.07969116586878622,-0.07889425421009835,True,False
DDO161,29,12.9,0.9648466716529545,compact_plummer,-3.2935816797941255,-3.4058976858280294,-0.7524587648532322,-0.1123160060339039,-0.08311384446508888,True,False
DDO161,30,13.37,1.0,compact_plummer,-2.1387253790670697,-2.2052872823635394,-0.28914575068878445,-0.06656190329646972,-0.08719609331837533,True,False
DDO168,8,3.71,0.9004854368932038,compact_plummer,2.522901935543845,2.5229019214037125,7.134833612809643e-08,1.4140132620354962e-08,3.5350331550887404e-08,True,False
