tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
-1.3300000000000001e+00,6.2018682500656723e-02,7.6633456035971520e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.6633456035971520e-02
-1.3200000000000001e+00,6.2602960314565678e-02,7.5859292194740996e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.5859292194740996e-02
-1.3100000000000001e+00,6.3192371767803984e-02,7.5084220427616311e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.5084220427616311e-02
-1.3000000000000000e+00,6.3786954956859918e-02,7.4308293691591226e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.4308293691591226e-02
-1.2900000000000000e+00,6.4386748127989515e-02,7.3531565892605261e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.3531565892605261e-02
-1.2800000000000000e+00,6.4991789675078404e-02,7.2754091894278589e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.2754091894278589e-02
-1.2700000000000000e+00,6.5602118137436660e-02,7.1975927526630679e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.1975927526630679e-02
-1.2600000000000000e+00,6.6217772197524477e-02,7.1197129594772507e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.1197129594772507e-02
-1.2500000000000000e+00,6.6838790678608623e-02,7.0417755887575761e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.0417755887575761e-02
-1.2400000000000000e+00,6.7465212542347872e-02,6.9637865186309378e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.9637865186309378e-02
-1.2300000000000000e+00,6.8097076886307242e-02,6.8857517273246016e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.8857517273246016e-02
-1.2200000000000000e+00,6.8734422941399739e-02,6.8076772940231178e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.8076772940231178e-02
-1.2100000000000000e+00,6.9377290069254416e-02,6.7295693997216383e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.7295693997216383e-02
-1.2000000000000000e+00,7.0025717759510053e-02,6.6514343280747373e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.6514343280747373e-02
-1.1899999999999999e+00,7.0679745627033705e-02,6.5732784662410060e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.5732784662410060e-02
-1.1799999999999999e+00,7.1339413409062455e-02,6.4951083057223330e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.4951083057223330e-02
-1.1699999999999999e+00,7.2004760962268363e-02,6.4169304431987262e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.4169304431987262e-02
-1.1599999999999999e+00,7.2675828259744502e-02,6.3387515813566608e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.3387515813566608e-02
-1.1499999999999999e+00,7.3352655387912413e-02,6.2605785297123406e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.2605785297123406e-02
-1.1399999999999999e+00,7.4035282543349082e-02,6.1824182054281702e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.1824182054281702e-02
-1.1299999999999999e+00,7.4723750029532660e-02,6.1042776341226207e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.1042776341226207e-02
-1.1199999999999999e+00,7.5418098253506316e-02,6.0261639506733501e-02,0.0000000000000000e+00,0.0000000000000000e+00,6.0261639506733501e-02
-1.1099999999999999e+00,7.6118367722459071e-02,5.9480844000125821e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.9480844000125821e-02
-1.0999999999999999e+00,7.6824599040222555e-02,5.8700463379147833e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.8700463379147833e-02
-1.0900000000000001e+00,7.7536832903683017e-02,5.7920572317760849e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.7920572317760849e-02
-1.0800000000000001e+00,7.8255110099107517e-02,5.7141246613852226e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.7141246613852226e-02
-1.0700000000000001e+00,7.8979471498383302e-02,5.6362563196852698e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.6362563196852698e-02
-1.0600000000000001e+00,7.9709958055169686e-02,5.5584600135258122e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.5584600135258122e-02
-1.0500000000000000e+00,8.0446610800961438e-02,5.4807436644054831e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.4807436644054831e-02
-1.0400000000000000e+00,8.1189470841062678e-02,5.4031153092040290e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.4031153092040290e-02
-1.0300000000000000e+00,8.1938579350470511e-02,5.3255831009034499e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.3255831009034499e-02
-1.0200000000000000e+00,8.2693977569667565e-02,5.2481553092982601e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.2481553092982601e-02
-1.0100000000000000e+00,8.3455706800322424e-02,5.1708403216935164e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.1708403216935164e-02
