galaxy,model,n_outer,valid,loss,rmse_kms
NGC3877,compact_plummer,3,True,3.7955518970093656,12.036223986470473
NGC3877,extended,3,True,3.3747416145489786,11.36888844656026
NGC3877,nfw,3,True,2.7984025489320583,9.762273815754325
NGC3877,profiled_baryons,3,True,1.4487364517991395,6.076412580852196
NGC3877,scalar_core,3,True,3.7955523931975925,12.036224707117448
NGC3893,adaptive_primary,2,True,0.1556501302204691,4.659029435293323
NGC3893,baryon_only,2,True,34.92305151986329,73.53343223024214
NGC3893,compact_plummer,2,True,0.7406100624536233,10.588918211949904
NGC3893,extended,2,True,0.155650125326582,4.659029357957712
NGC3893,nfw,2,True,1.046760436421066,13.367961009297133
NGC3893,profiled_baryons,2,True,13.765199380669731,46.13145484387951
NGC3893,scalar_core,2,True,0.7104131573804617,10.367816102643198
NGC3917,adaptive_primary,4,True,1.7235434803045786,7.45179108094393
NGC3917,baryon_only,4,True,207.85024072696336,69.4212321105224
NGC3917,compact_plummer,4,True,4.956310845307838,12.395959902084934
NGC3917,extended,4,True,1.7235434701870345,7.451791060029495
NGC3917,nfw,4,True,0.07398614108510464,1.2320535072417258
NGC3917,profiled_baryons,4,True,10.102951238178104,17.567624301354474
NGC3917,scalar_core,4,True,4.886222933492661,12.320557689085675
NGC3953,adaptive_primary,2,True,3.4840977798922825,14.29786041436922
NGC3953,baryon_only,2,True,42.300117181819914,47.779018261417725
NGC3953,compact_plummer,2,True,3.468978751888324,14.232611876883057
NGC3953,extended,2,True,2.6765886289903458,12.5004156548325
NGC3953,nfw,2,True,0.09527020198271194,1.9304847038760562
NGC3953,profiled_baryons,2,True,1.4152103385676587,9.558014511827745
NGC3953,scalar_core,2,True,3.4840977833104807,14.297860420974658
NGC3972,adaptive_primary,2,True,1.0375188085469014,5.48836829192804
NGC3972,baryon_only,2,True,121.25744504179048,59.13526606137559
NGC3972,compact_plummer,2,True,9.23729718922413,15.96404939668939
NGC3972,extended,2,True,1.037518789706803,5.488368242196542
NGC3972,nfw,2,True,0.07185313638001806,1.3640322784702443
NGC3972,profiled_baryons,2,True,13.0018326868934,18.914086648812987
NGC3972,scalar_core,2,True,8.284912513277575,15.096766192906003
NGC3992,adaptive_primary,2,True,0.5490178023209227,5.403515121497846
NGC3992,baryon_only,2,True,91.5206010771193,69.01281745215161
NGC3992,compact_plummer,2,True,0.5702727720229047,5.49849249751617
NGC3992,extended,2,True,0.4768864794153501,5.027710252561129
NGC3992,nfw,2,True,0.3967364940915934,4.6940041699098884
NGC3992,profiled_baryons,2,True,45.45682368704184,49.13003752654543
NGC3992,scalar_core,2,True,0.20094731866450782,3.2492341223166683
NGC4010,adaptive_primary,3,True,22.951239373762206,20.61369269180101
NGC4010,baryon_only,3,True,119.76525307846812,50.11850893055692
NGC4010,compact_plummer,3,True,21.445868281887485,19.90727175715066
NGC4010,extended,3,True,22.78697509676103,20.538373277638673
NGC4010,nfw,3,True,6.228878256667056,10.414127651593114
NGC4010,profiled_baryons,3,True,17.772897379323116,19.060731223322442
NGC4010,scalar_core,3,True,22.951239114357673,20.613692570091025
NGC4013,adaptive_primary,8,True,0.7885943122411408,5.031154474223539
NGC4013,baryon_only,8,True,209.12165676180314,80.92279512558552
NGC4013,compact_plummer,8,True,0.8362831676951712,5.1589296584074855
NGC4013,extended,8,True,0.8775832207985182,5.26761411674751
NGC4013,nfw,8,True,0.5341591709585889,5.054693014700098
NGC4013,profiled_baryons,8,True,116.17372670557978,60.26506894862263
NGC4013,scalar_core,8,True,0.7885942842843834,5.031154397487739
NGC4088,adaptive_primary,3,True,1.2487996906119385,8.744164565445852
NGC4088,baryon_only,3,True,51.7253279297499,52.38582788876157
NGC4088,compact_plummer,3,True,1.2379589654865608,8.706208380108599
NGC4088,extended,3,True,1.2432872497043792,8.724587414727065
NGC4088,nfw,3,True,0.402933490335998,4.880668724608641
NGC4088,profiled_baryons,3,True,28.828343070650817,39.85287742544103
NGC4088,scalar_core,3,True,1.097085530566108,8.177956035182714
NGC4100,adaptive_primary,5,True,1.479605567775926,8.807751252401674
NGC4100,baryon_only,5,True,50.97564871356222,51.822029833453016
NGC4100,compact_plummer,5,True,0.2996985827329179,3.6829440866610885
NGC4100,extended,5,True,0.43599615736381764,4.455337686011446
NGC4100,nfw,5,True,3.320723469577586,13.379512743216301
NGC4100,profiled_baryons,5,True,14.992128029485201,28.56594895539566
NGC4100,scalar_core,5,True,0.5461120358546041,4.980919783689633
NGC4157,adaptive_primary,4,True,0.14569995882207018,4.6329102655665215
NGC4157,baryon_only,4,True,43.768616470035305,77.0134583516331
NGC4157,compact_plummer,4,True,0.11509581177713174,4.137008234357225
NGC4157,extended,4,True,0.12735265176360777,4.3447709222662905
NGC4157,nfw,4,True,0.09829428897638061,4.228437031139788
NGC4157,profiled_baryons,4,True,23.086941159780324,56.59572271966713
NGC4157,scalar_core,4,True,0.11509581177381747,4.13700823430077
NGC4183,adaptive_primary,5,True,1.280336567547843,8.609904070068994
NGC4183,baryon_only,5,True,64.76411019115866,50.68167352011682
NGC4183,compact_plummer,5,True,8.270580789236964,20.113958888108595
NGC4183,extended,5,True,0.5924047495846523,6.3733068736560545
NGC4183,nfw,5,True,0.279957639773927,4.679634804651519
NGC4183,profiled_baryons,5,True,13.284563114471315,24.70348810512408
NGC4183,scalar_core,5,True,6.964780953985013,18.72830547454172
NGC4217,adaptive_primary,4,True,0.421109320359584,6.803941745785267
NGC4217,baryon_only,4,True,148.9999495404918,99.64162185649741
NGC4217,compact_plummer,4,True,0.4211093156075699,6.803941714255255
NGC4217,extended,4,True,0.4211093156075699,6.803941714255255
NGC4217,nfw,4,True,5.92218234256687,20.627633056066554
NGC4217,profiled_baryons,4,True,18.448275750109786,36.5453178408838
NGC4217,scalar_core,4,True,0.42110931559953424,6.803941714201938
NGC4559,adaptive_primary,7,True,0.5205216739494766,4.318889056001026
NGC4559,baryon_only,7,True,51.963043180942016,43.00110714477019
NGC4559,compact_plummer,7,True,0.47702780786361615,4.13441060064562
NGC4559,extended,7,True,0.503014832722086,4.245725463403792
NGC4559,nfw,7,True,2.237113920238901,8.994437467671965
NGC4559,profiled_baryons,7,True,3.1112343196093972,10.478753167657876
NGC4559,scalar_core,7,True,0.5205216752937699,4.3188890615697195
NGC5005,adaptive_primary,4,True,0.42141242263603207,14.267979279511392
NGC5005,baryon_only,4,True,7.127427660298388,58.75921488252189
NGC5005,compact_plummer,4,True,0.376412521511191,13.484542703547506
NGC5005,extended,4,True,0.36563438107751334,13.29007574306741
NGC5005,nfw,4,True,0.04564103298351438,4.699977957264915
NGC5005,profiled_baryons,4,True,2.328917689616163,33.56959533412196
NGC5005,scalar_core,4,True,0.42141241916298516,14.267979220670044
NGC5033,adaptive_primary,5,True,9.551767490937726,13.09838597964063
NGC5033,baryon_only,5,True,678.5068541965845,90.18605384029621
NGC5033,compact_plummer,5,True,10.496775677470632,13.646421007056412
NGC5033,extended,5,True,3.128506455767992,6.565623915742025
NGC5033,nfw,5,True,12.154930160015534,10.749404657325709
NGC5033,profiled_baryons,5,True,112.66832942519218,38.70570084483903
NGC5033,scalar_core,5,True,9.551767377060267,13.098385911263884
NGC5055,adaptive_primary,6,True,377.5457962149837,23.6206427600591
NGC5055,baryon_only,6,True,6819.454347985801,85.70068993490885
NGC5055,compact_plummer,6,True,428.25756381380506,25.218997789332942
NGC5055,extended,6,True,426.6671585197344,25.14807455103094
NGC5055,nfw,6,True,1.5012595404274214,1.9303500988756186
NGC5055,profiled_baryons,6,True,4490.429447967466,69.91248025928031
NGC5055,scalar_core,6,True,427.9417898244761,25.211640326444755
NGC5371,adaptive_primary,4,True,73.74324569177716,39.6019311856879
NGC5371,baryon_only,4,True,88.14293243056204,43.01716317985296
NGC5371,compact_plummer,4,True,72.71724926449741,39.34574985539471
NGC5371,extended,4,True,57.08250233696248,35.08763509019817
NGC5371,nfw,4,True,21.607942688273013,22.150321519906857
NGC5371,profiled_baryons,4,True,70.16672981923013,38.71165117970164
NGC5371,scalar_core,4,True,73.74324555070459,39.60193115067817
NGC5585,adaptive_primary,5,True,0.10119769364247226,0.5459941929990825
NGC5585,baryon_only,5,True,789.869469991866,45.00709726185599
NGC5585,compact_plummer,5,True,0.10119769364247226,0.5459941929990825
