galaxy,model,T,group,Rmax_over_Rdisk,mass_fraction_first_test,mass_fraction_last,median_halo_slope_outer,mean_fractional_residual,median_fractional_residual,median_standardized_residual,last_fractional_residual,last_required_additional_enclosed_over_fitted,last_remaining_mass_over_enclosed,last_shortfall_exceeds_all_remaining_mass,last_halo_required_positive,last_spherical_same_mass_max_speed,last_observed_speed,last_quoted_error,last_capacity_margin_over_observed_squared,outer_baryon_fraction,eta,guard_active
NGC6015,variable_core,6,spiral_T1_9,12.708695652173914,5.491948263504169e-06,1.1833654944093024e-05,0.9998176255517077,0.23869795668052532,0.2508959002832361,5.657959360468843,0.35427072168540075,-0.5504690912349182,84503.74555193681,False,True,54389.37153459583,152.0,3.4,-128037.596603545,0.3878613586600205,1000.0,True
NGC6195,variable_core,3,spiral_T1_9,2.6133428981348636,0.9999999999999957,1.0000000000000002,-0.4999999999988347,-0.1330719287053573,-0.156318353707334,-4.68955061122002,-0.2084111418651167,11.252761137546525,-2.220446049250313e-16,True,True,194.7308591011813,246.0,4.24,0.3733870796767115,0.6736375459234069,939.5758897134984,False
NGC6503,variable_core,6,spiral_T1_9,10.87962962962963,0.9358703521362783,0.9829870258334957,-0.39303814013263993,-0.09805770259436246,-0.10475453789741473,-4.208537603245877,-0.13473210571270675,0.4372531631354295,0.017307424939895455,True,True,100.16466859233462,115.0,10.0,0.24136402009737432,0.18813060172917298,3.3542280142073753e-16,False
NGC6674,variable_core,3,spiral_T1_9,11.988410596026489,0.27899216375839736,0.37682275077018546,0.518208775151241,0.00041267079138411895,0.006180535858124115,0.37392241941650894,0.011154506344292202,-0.03427222322076759,1.6537675815913633,False,True,351.1030244913006,242.0,5.0,-1.1049336419462266,0.4022164014732148,9.962177552203427e-12,False
NGC6946,variable_core,6,spiral_T1_9,8.360655737704917,0.7163617370314028,0.8611832500084329,-0.07638454362815517,-0.00556768826344533,-0.010756260730743742,-0.08340797067100086,-0.014424081842370817,0.053106453034749306,0.16119304455841177,False,True,158.42481503192022,154.0,21.0,-0.05829069058433675,0.4490798572378423,4.3886704341722e-14,False
NGC7331,variable_core,3,spiral_T1_9,7.2330677290836665,0.7618121923372232,0.8987549364474438,-0.14515689906097196,-0.06216767644073459,-0.059392923828390475,-2.8432502967592157,-0.09310266614127011,0.3275232166880199,0.11265035600555695,True,True,223.71063463583874,238.0,9.0,0.11647397695837618,0.3183405370051756,3.838166780781111e-15,False
NGC7793,variable_core,7,spiral_T1_9,6.5041322314049586,3.769220662301674e-07,2.80693381126531e-06,0.9999562971213516,0.1774475598425213,0.12095640834645728,1.1402710725046346,0.6104321597740778,-0.787292253234616,356259.6271607167,False,True,77103.99015144022,90.8,6.1,-721076.6088796346,0.5538674073115583,1000.0,True
NGC7814,variable_core,2,spiral_T1_9,7.6889763779527565,0.9119473126511338,0.9688053053174838,-0.3453266290265322,-0.08751168757973712,-0.08814365880816152,-3.847346888816136,-0.12066676832708832,0.4337768844267638,0.03219913692802656,True,True,190.21461159947077,214.0,4.87,0.2099397662254886,0.2737150440231422,4.327903257181628e-18,False
UGC00128,variable_core,8,spiral_T1_9,9.033613445378151,0.7140516541496843,0.8765593673252398,-0.006854833323258203,-0.06196397785627655,-0.052065270075515764,-2.5249698645644862,-0.05177266880001184,0.19859945402142504,0.14082404144676564,True,True,123.15240521934271,125.0,5.95,0.029343045676211828,0.4133535358101007,1.0550106504642525,False
UGC00191,variable_core,9,spiral_T1_9,6.3164556962025316,0.9955065146035066,0.9998234156956325,-0.4891709368511077,-0.17619195434531182,-0.17619195434531182,-17.110139507963954,-0.23122104941546648,1.283685841640489,0.00017661549189118553,True,True,64.46518354958879,83.85,1.04,0.4089226559080145,0.2946995338808853,3.733437430594771e-18,False
UGC00731,variable_core,10,irregular_T10_11,4.743478260869566,0.9914635909797714,0.9984377227068241,-0.4826525863418918,-0.08590102971156177,-0.08046656298183691,-1.8943129817242848,-0.10479185401393323,0.5012007298833598,0.0015647218225494086,True,True,66.18146880894136,73.9,3.42,0.19798234938614756,0.4051444599518666,2.7126501414709172e-17,False
UGC01281,variable_core,8,spiral_T1_9,3.0613496932515343,1.0,1.0,-0.49999999999994493,-0.37995792278597695,-0.3872741055473693,-5.471137915648475,-0.3872741055473693,1351.8216263368472,0.0,True,True,34.864103394354686,56.9,4.0,0.6245669782672237,0.374971002953006,9.717310719222192e-13,False
UGC02259,variable_core,8,spiral_T1_9,5.0246913580246915,0.9856673597594553,0.9951675346403956,-0.46194721646047876,-0.1425127572086233,-0.1425127572086233,-4.7325035175888,-0.1760744425976371,0.7449541950657576,0.004855931480271414,True,True,74.26754498930788,90.0,3.0,0.3190533038593988,0.26765534591591184,1.1754583881017072e-25,False
UGC02487,variable_core,0,S0,10.187579214195184,0.9448388237306283,0.9854777944049918,-0.4029643947212058,-0.08887487332171402,-0.08935254455984393,-4.453527117413404,-0.1372017732003451,0.5714923534064171,0.014736207834876947,True,True,288.58076925165983,333.0,15.3,0.24898898554518728,0.33708758789071436,1.572635949110943e-15,False
UGC02885,variable_core,5,spiral_T1_9,6.497368421052631,0.7972637389086183,0.8963821150556712,-0.16404154044580288,-0.054785507089211795,-0.054438187486056513,-1.622257987084484,-0.07382252501192543,0.26612176825884304,0.11559566305926738,True,True,285.76479508886274,298.0,10.0,0.0804297316316864,0.34186999615884195,6.478732905986041e-28,False
UGC02916,variable_core,2,spiral_T1_9,6.178861788617886,1.0,1.0,-0.49999999999994493,0.005055873123184731,0.006623367116407111,0.10142030896998389,-0.04389783283640764,2.543354477517106,0.0,True,True,173.05449225661022,181.0,10.3,0.0858686459450822,0.9743768439199916,3.2878934037712934e-11,False
