analysis,split,left_model,right_model,galaxy,n_points,left_loss,right_loss,delta_left_minus_right,outcome
guard_0.001,holdout,fixed_core,nfw,UGC06614,3,0.9937057734678412,3.0884649997339757,-2.0947592262661345,left_win
guard_0.001,holdout,fixed_core,nfw,UGC06667,2,2.855565566419436,7.290827552205939,-4.435261985786503,left_win
guard_0.001,holdout,fixed_core,nfw,UGC06786,9,16.138271742796448,2.1998826417874078,13.93838910100904,right_win
guard_0.001,holdout,fixed_core,nfw,UGC06787,15,600.0160113643979,160.48783492086804,439.5281764435298,right_win
guard_0.001,holdout,fixed_core,nfw,UGC06818,2,4.046265764644621,0.9135379502017924,3.1327278144428288,right_win
guard_0.001,holdout,fixed_core,nfw,UGC06917,3,4.2979884651206,0.5608491950199719,3.737139270100628,right_win
guard_0.001,holdout,fixed_core,nfw,UGC06930,2,3.2089895978562737,0.0035043609973514,3.205485236858922,right_win
guard_0.001,holdout,fixed_core,nfw,UGC06983,4,0.7943919974990515,0.2157805528233125,0.5786114446757391,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07089,3,0.6821756455149622,0.057370967959033,0.6248046775559293,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07125,3,1.4754578326372156,1.0099819395142755,0.46547589312294013,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07151,3,7.782178180770379,1.5621764917669283,6.220001689003451,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07323,2,0.0750075326231621,0.31474599592986,-0.23973846330669793,left_win
guard_0.001,holdout,fixed_core,nfw,UGC07399,2,10.84081663551502,0.0375612651872234,10.803255370327797,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07524,7,1.4496854112301072,3.454354726437182,-2.0046693152070745,left_win
guard_0.001,holdout,fixed_core,nfw,UGC07577,2,1.7167174715207578,1.1614717352395716,0.5552457362811862,right_win
guard_0.001,holdout,fixed_core,nfw,UGC07603,3,3.890046802356268,4.902440236779587,-1.0123934344233194,left_win
guard_0.001,holdout,fixed_core,nfw,UGC08286,4,37.53690309677445,0.1399963109678621,37.39690678580659,right_win
guard_0.001,holdout,fixed_core,nfw,UGC08490,6,1.6008953636802274,0.0722358334251194,1.528659530255108,right_win
guard_0.001,holdout,fixed_core,nfw,UGC08550,3,1.830645008575932,0.6451373395991832,1.185507668976749,right_win
guard_0.001,holdout,fixed_core,nfw,UGC08699,9,35.39307681357387,1.7237598002497572,33.66931701332411,right_win
guard_0.001,holdout,fixed_core,nfw,UGC08837,2,0.4500131839680864,8.187058603882246,-7.73704541991416,left_win
guard_0.001,holdout,fixed_core,nfw,UGC09037,5,0.1606531989830892,2.4385149404767565,-2.2778617414936675,left_win
guard_0.001,holdout,fixed_core,nfw,UGC09133,14,99.67827328561012,144.963198831739,-45.284925546128875,left_win
guard_0.001,holdout,fixed_core,nfw,UGC11455,8,41.059539545090594,24.862084295690064,16.19745524940053,right_win
guard_0.001,holdout,fixed_core,nfw,UGC11557,3,31.74861686319464,0.2439164397543509,31.50470042344029,right_win
guard_0.001,holdout,fixed_core,nfw,UGC11820,2,105.41688155058952,16.962077966701962,88.45480358388755,right_win
guard_0.001,holdout,fixed_core,nfw,UGC11914,13,60.40114457488336,29.20525201451617,31.19589256036719,right_win
guard_0.001,holdout,fixed_core,nfw,UGC12506,7,2.9777973653875605,0.252808564628086,2.7249888007594745,right_win
guard_0.001,holdout,fixed_core,nfw,UGC12632,3,4.477864465216986,0.4739327269556645,4.003931738261322,right_win
guard_0.001,holdout,fixed_core,nfw,UGC12732,4,3.758307270230232,0.8138996531098059,2.944407617120426,right_win
guard_0.001,holdout,fixed_core,nfw,UGCA442,2,29.69580537422848,52.00501588603073,-22.309210511802252,left_win
guard_0.001,holdout,fixed_core,nfw,UGCA444,8,1.4317258603109215,0.0484531509104618,1.3832727094004598,right_win
guard_0.001,holdout,variable_core,nfw,CamB,2,16.90571332627055,22.03868798822721,-5.132974661956659,left_win
guard_0.001,holdout,variable_core,nfw,D631-7,4,1.1295148033265832,0.7692628172098074,0.3602519861167758,right_win
guard_0.001,holdout,variable_core,nfw,DDO064,3,0.179363689346424,0.1229078000095256,0.05645588933689839,right_win
guard_0.001,holdout,variable_core,nfw,DDO154,3,2.16424305483443,21.74156721562578,-19.57732416079135,left_win
guard_0.001,holdout,variable_core,nfw,DDO161,7,14.211472885833423,24.071295212343188,-9.859822326509764,left_win
guard_0.001,holdout,variable_core,nfw,DDO168,2,8.801851977293767,2.7420987767928726,6.059753200500895,right_win
guard_0.001,holdout,variable_core,nfw,DDO170,2,49.394424867548416,1.3135354676205946,48.08088939992782,right_win
guard_0.001,holdout,variable_core,nfw,ESO079-G014,3,56.44371501749763,48.17110123119005,8.27261378630758,right_win
guard_0.001,holdout,variable_core,nfw,ESO116-G012,3,1.3251332124747364,10.346351363849374,-9.021218151374638,left_win
