theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
5.8904862254808621e-01,3.7500000000000000e-01,8.4265193848727382e-02,9.1573480615127256e-01,1.3203730901381761e+00,1.3203730901381761e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.8906482229592423e-01
5.9297561336507354e-01,3.7750000000000006e-01,8.5359256219121216e-02,9.1464074378087878e-01,1.3177706478711424e+00,1.3177706478711424e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.9166726456295788e-01
5.9690260418206076e-01,3.8000000000000006e-01,8.6459712862719085e-02,9.1354028713728086e-01,1.3151684617199586e+00,1.3151684617199586e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.9426945071414168e-01
6.0082959499904798e-01,3.8250000000000001e-01,8.7566546809118267e-02,9.1243345319088176e-01,1.3125666613020530e+00,1.3125666613020530e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.9687125113204726e-01
6.0475658581603520e-01,3.8500000000000001e-01,8.8679740989570113e-02,9.1132025901042990e-01,1.3099653754761484e+00,1.3099653754761484e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.9947253695795184e-01
6.0868357663302242e-01,3.8750000000000001e-01,8.9799278237243180e-02,9.1020072176275679e-01,1.3073647323488899e+00,1.3073647323488899e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.0207318008521034e-01
6.1261056745000975e-01,3.9000000000000007e-01,9.0925141287488298e-02,9.0907485871251170e-01,1.3047648592813135e+00,1.3047648592813135e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.0467305315278681e-01
6.1653755826699697e-01,3.9250000000000002e-01,9.2057312778104361e-02,9.0794268722189564e-01,1.3021658828951597e+00,1.3021658828951597e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.0727202953894062e-01
6.2046454908398418e-01,3.9500000000000002e-01,9.3195775249606455e-02,9.0680422475039357e-01,1.2995679290790394e+00,1.2995679290790394e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.0986998335506089e-01
6.2439153990097140e-01,3.9750000000000002e-01,9.4340511145494979e-02,9.0565948885450509e-01,1.2969711229944534e+00,1.2969711229944532e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.1246678943964690e-01
6.2831853071795862e-01,4.0000000000000002e-01,9.5491502812526274e-02,9.0450849718747373e-01,1.2943755890816695e+00,1.2943755890816695e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.1506232335243078e-01
6.3224552153494595e-01,4.0250000000000008e-01,9.6648732500985032e-02,9.0335126749901495e-01,1.2917814510654630e+00,1.2917814510654630e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.1765646136863723e-01
6.3617251235193317e-01,4.0500000000000003e-01,9.7812182364957784e-02,9.0218781763504219e-01,1.2891888319607212e+00,1.2891888319607214e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.2024908047337908e-01
6.4009950316892039e-01,4.0750000000000003e-01,9.8981834462608442e-02,9.0101816553739167e-01,1.2865978540779177e+00,1.2865978540779175e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.2284005835618257e-01
6.4402649398590761e-01,4.1000000000000003e-01,1.0015767075645471e-01,8.9984232924354535e-01,1.2840086390284580e+00,1.2840086390284580e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.2542927340564232e-01
