z,virial_over_E,sharp_lower_bound,local_quadratic
2.9599999999999999e-01,2.2959999999999998e+00,2.3406377999053971e-02,2.2533333333333353e-02
2.9799999999999999e-01,2.2980000000000000e+00,2.2494055604816474e-02,2.1675000000000017e-02
2.9999999999999999e-01,2.2999999999999998e+00,2.1600854143546538e-02,2.0833333333333350e-02
3.0199999999999999e-01,2.3020000000000000e+00,2.0726700407865867e-02,2.0008333333333350e-02
3.0399999999999999e-01,2.3039999999999998e+00,1.9871522468982980e-02,1.9200000000000012e-02
3.0599999999999999e-01,2.3060000000000000e+00,1.9035249654102776e-02,1.8408333333333346e-02
3.0800000000000000e-01,2.3079999999999998e+00,1.8217812524456492e-02,1.7633333333333345e-02
3.1000000000000000e-01,2.3100000000000001e+00,1.7419142853934491e-02,1.6875000000000012e-02
3.1200000000000000e-01,2.3119999999999998e+00,1.6639173608299862e-02,1.6133333333333343e-02
3.1400000000000000e-01,2.3140000000000001e+00,1.5877838924966012e-02,1.5408333333333342e-02
3.1600000000000000e-01,2.3159999999999998e+00,1.5135074093322209e-02,1.4700000000000008e-02
