augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
A_core,bar_fixed,inner,outer,UGC07323,0.03355631997689328,71.08263353388801,0.7089214686140723,32.62817025476126
A_core,bar_fixed,inner,outer,UGC07399,17.668269381313642,208.70772140027265,20.66697400559193,70.74050564814216
A_core,bar_fixed,inner,outer,UGC07524,2.1545930033558434,130.72331578213726,5.329087665959124,38.285985733048676
A_core,bar_fixed,inner,outer,UGC07577,1.7805951891929421,1.9945554222489925,4.230014538589785,4.476950746058963
A_core,bar_fixed,inner,outer,UGC07603,3.905848722745437,190.85054995401575,5.711570634881632,39.924965601374474
A_core,bar_fixed,inner,outer,UGC08286,37.84385385670494,651.9815479295739,12.326560470295853,51.18870206276754
A_core,bar_fixed,inner,outer,UGC08490,10.590173097755134,184.22989666544868,12.008199528503166,50.0848549562282
A_core,bar_fixed,inner,outer,UGC08550,19.610903778627833,265.9962615857167,9.119301600845583,33.91487699798156
A_core,bar_fixed,inner,outer,UGC08699,86.32457241841743,311.1876681354235,48.640423612645144,84.02144995552985
A_core,bar_fixed,inner,outer,UGC08837,0.3608326690197785,37.42758405806494,1.8312004396938004,18.801482980940918
A_core,bar_fixed,inner,outer,UGC09037,2.5467624449268365,22.839322221030343,22.919889166509485,51.73695706632582
A_core,bar_fixed,inner,outer,UGC09133,431.8325908994165,3754.0732085894697,41.0333483314662,121.92445371654843
A_core,bar_fixed,inner,outer,UGC11455,28.348766995513447,235.82707739670198,34.58966609129817,96.7047113597226
A_core,bar_fixed,inner,outer,UGC11557,1.4222740773911127,4.033661072615363,7.990361902572815,13.456264175086028
A_core,bar_fixed,inner,outer,UGC11820,108.77095424157747,2409.8162907392443,11.29802750470196,45.26128148999004
A_core,bar_fixed,inner,outer,UGC11914,177.2821767629938,700.6622888686026,35.75887060953875,70.43122525044838
A_core,bar_fixed,inner,outer,UGC12506,5.0772027532298525,72.98152057718664,30.253941422101917,117.20979545794778
A_core,bar_fixed,inner,outer,UGC12632,5.7875555521139725,168.194321807413,6.844398008898277,37.16401653021267
A_core,bar_fixed,inner,outer,UGC12732,25.41263647479505,232.2663772901763,16.27696877381361,49.927857496129135
A_core,bar_fixed,inner,outer,UGCA442,30.107174668365037,1808.3365547697008,4.5111509525788245,37.68757957358075
A_core,bar_fixed,inner,outer,UGCA444,1.4344039286459802,15.192336766834694,6.815405893559406,20.455341435204897
A_nfw,bar_fixed,inner,outer,CamB,14.421308585517746,14.421308588585172,5.69630971045421,5.696309711060016
A_nfw,bar_fixed,inner,outer,D631-7,1.247811136684925,105.59993006604336,3.940263080213178,38.737628505109875
A_nfw,bar_fixed,inner,outer,DDO064,0.11850555495366748,13.296158180368609,2.9496089510071535,21.91071732727028
A_nfw,bar_fixed,inner,outer,DDO154,24.181958439332288,1666.4777510831316,4.913565420657257,30.106971835270038
A_nfw,bar_fixed,inner,outer,DDO161,8.556590208644788,1046.1289799942758,2.8396263165005395,34.71475574387897
A_nfw,bar_fixed,inner,outer,DDO168,1.3981848859691632,116.43400715361193,3.186101329197291,27.88802208033832
A_nfw,bar_fixed,inner,outer,DDO170,0.910949391106433,900.0602097545541,1.0560715151697189,33.09494707060597
A_nfw,bar_fixed,inner,outer,ESO079-G014,26.714891029686473,1328.0942201274468,10.821195203568422,77.87185295549267
A_nfw,bar_fixed,inner,outer,ESO116-G012,10.318129425246818,570.1069359867404,9.00305409242495,62.29354980814155
A_nfw,bar_fixed,inner,outer,ESO563-G021,3.014943158974478,318.10008138980373,16.70168547961671,162.19333964807132
A_nfw,bar_fixed,inner,outer,F568-3,0.10899465275690359,28.913431538673894,3.6133337434195285,60.43588673963807
A_nfw,bar_fixed,inner,outer,F568-V1,1.125183855933973,23.148328476255845,15.245269310091167,71.33296961225449
A_nfw,bar_fixed,inner,outer,F571-8,8.1294718225217,474.0833148602542,11.431211321589918,94.14729820539381
A_nfw,bar_fixed,inner,outer,F574-1,3.23335090923038,133.9564920849679,8.571732762345151,54.225843481380664
A_nfw,bar_fixed,inner,outer,F583-1,8.546525443001972,38.526873221435515,19.758728082117127,48.30487387263099
A_nfw,bar_fixed,inner,outer,F583-4,0.10976432139946864,56.41948967184984,1.6234042493480307,36.80532498187069
A_nfw,bar_fixed,inner,outer,IC2574,11.26562080784849,145.6188618962619,8.852063753226897,34.41164853151321
A_nfw,bar_fixed,inner,outer,IC4202,10.662116976081355,137.00288019231425,24.94385869424255,86.50751829363745
A_nfw,bar_fixed,inner,outer,KK98-251,2.3679052987292173,49.802583043474385,3.077599908194187,14.114189037061164
A_nfw,bar_fixed,inner,outer,NGC0024,312.2934899050206,325.00295251602984,54.69210473015478,63.39148069669495
A_nfw,bar_fixed,inner,outer,NGC0055,3.1126305330819486,91.8129426818383,7.170781103481095,38.52601485712391
A_nfw,bar_fixed,inner,outer,NGC0100,0.2034558569688254,56.810244051760904,3.2814715494707793,53.129959398678416
A_nfw,bar_fixed,inner,outer,NGC0247,0.07332882322507976,41.509624982091445,2.2441826657996664,55.00816521782325
A_nfw,bar_fixed,inner,outer,NGC0289,1.3867750690225744,106.56742094688188,7.029615296269162,87.64503994790329
A_nfw,bar_fixed,inner,outer,NGC0300,0.20637420206142404,483.03202783172935,3.5045300074665553,59.115075933318444
