galaxy,point_index,model,abs_z,weight,cumulative_weight
UGC11914,64,extended,12.464325879986044,0.0005871990604815032,0.9712793604595732
NGC0024,28,extended,12.489264313892656,0.001272264631043257,0.9725516250906164
UGC09133,63,extended,12.55704385992758,0.0005452562704471102,0.9730968813610635
NGC6015,40,extended,12.776800970178622,0.0008481764206955047,0.973945057781759
UGC02953,114,extended,12.81395690647091,0.00033189512114171923,0.9742769529029007
UGC03205,46,extended,13.49107293290149,0.0007633587786259542,0.9750403116815267
UGC06787,58,extended,13.609920970698694,0.0005089058524173028,0.975549217533944
UGC03580,42,extended,14.010794082984802,0.0007633587786259542,0.97631257631257
UGC03580,43,extended,14.655393221677931,0.0007633587786259542,0.977075935091196
UGC09133,64,extended,14.902966445150945,0.0005452562704471102,0.977621191361643
UGC11914,62,extended,14.923639086647206,0.0005871990604815032,0.9782083904221246
UGC06787,60,extended,15.033590703733708,0.0005089058524173028,0.9787172962745418
UGC00191,7,extended,15.247573326706044,0.003816793893129771,0.9825340901676716
UGC03205,45,extended,15.429635641692546,0.0007633587786259542,0.9832974489462976
UGC06787,59,extended,15.529554753693027,0.0005089058524173028,0.9838063547987148
NGC6015,43,extended,15.835784767804038,0.0008481764206955047,0.9846545312194103
UGC00191,8,extended,18.133529505002887,0.003816793893129771,0.98847132511254
UGC03580,45,extended,18.77531220426348,0.0007633587786259542,0.989234683891166
UGC11914,63,extended,18.99833384444273,0.0005871990604815032,0.9898218829516475
UGC03580,44,extended,19.07492015319521,0.0007633587786259542,0.9905852417302735
UGC06787,62,extended,19.31628634788408,0.0005089058524173028,0.9910941475826908
UGC03580,46,extended,19.84059090342846,0.0007633587786259542,0.9918575063613168
